nazione,anno,cm
DK,2022,"[0.0, 0.0, 0.0046, 0.0211, 0.0431, 0.07, 0.1074, 0.168, 0.2537, 0.3484, 0.4474, 0.553, 0.6605, 0.7581, 0.8354, 0.8891, 0.9314, 0.9547, 0.9658, 0.9718, 0.9773, 0.9783, 0.9809, 0.9789, 0.9799, 0.9834, 0.9835, 0.9834, 0.9864]"
DK,2023,"[0.0, 0.0, 0.0049, 0.0227, 0.0516, 0.0868, 0.1387, 0.2092, 0.2999, 0.4021, 0.5004, 0.5966, 0.6974, 0.7847, 0.853, 0.9017, 0.9349, 0.956, 0.97, 0.9747, 0.9771, 0.9804, 0.9839, 0.9856, 0.9885, 0.9908, 0.9919, 0.992, 0.9914]"
DK,2024,"[0.0, 0.0, 0.0056, 0.0279, 0.0566, 0.1039, 0.1705, 0.2544, 0.351, 0.4545, 0.548, 0.6424, 0.728, 0.8004, 0.8555, 0.8977, 0.9301, 0.9508, 0.9681, 0.9745, 0.9759, 0.9792, 0.9813, 0.9835, 0.9846, 0.9869, 0.989, 0.9901, 0.989]"
NL,2021,"[0.0, 0.0, 0.0027, 0.0102, 0.0201, 0.0332, 0.0524, 0.0782, 0.1117, 0.1578, 0.2111, 0.2789, 0.3572, 0.4419, 0.5378, 0.6309, 0.7142, 0.7866, 0.8452, 0.8923, 0.9269, 0.9449, 0.9572, 0.9656, 0.9728, 0.9771, 0.9784, 0.9803, 0.9808]"
NL,2022,"[0.0, 0.0, 0.0025, 0.0098, 0.02, 0.0323, 0.0526, 0.0797, 0.1168, 0.165, 0.2199, 0.291, 0.3727, 0.457, 0.5516, 0.6425, 0.7283, 0.7997, 0.8562, 0.9008, 0.9343, 0.952, 0.9635, 0.9682, 0.9758, 0.9789, 0.9804, 0.983, 0.9846]"
NL,2023,"[0.0, 0.0, 0.0034, 0.012, 0.0247, 0.0402, 0.0646, 0.0982, 0.1427, 0.198, 0.2584, 0.335, 0.4232, 0.5111, 0.6003, 0.6868, 0.7662, 0.8323, 0.8831, 0.9171, 0.9437, 0.9611, 0.9705, 0.9736, 0.98, 0.9812, 0.9841, 0.9865, 0.9877]"
NL,2024,"[0.0, 0.0, 0.0042, 0.0156, 0.033, 0.0536, 0.0853, 0.1291, 0.1831, 0.2533, 0.3278, 0.418, 0.5179, 0.6134, 0.6998, 0.7827, 0.848, 0.8985, 0.9303, 0.9475, 0.9608, 0.9715, 0.9747, 0.9762, 0.9817, 0.9843, 0.9877, 0.9885, 0.9891]"
CH,2021,"[0.0, 0.0, 0.005, 0.0187, 0.0369, 0.0582, 0.0853, 0.1188, 0.1612, 0.2076, 0.2582, 0.3178, 0.3807, 0.4511, 0.5269, 0.5968, 0.6706, 0.7365, 0.789, 0.8411, 0.88, 0.908, 0.9356, 0.9532, 0.9618, 0.973, 0.9761, 0.9803, 0.9851]"
CH,2022,"[0.0, 0.0, 0.0052, 0.0194, 0.0387, 0.0615, 0.091, 0.1282, 0.1743, 0.2267, 0.2831, 0.3446, 0.4177, 0.4942, 0.5748, 0.6496, 0.7208, 0.7831, 0.8357, 0.877, 0.909, 0.9291, 0.9474, 0.9594, 0.9649, 0.9737, 0.976, 0.9779, 0.9811]"
CH,2023,"[0.0, 0.0, 0.0052, 0.021, 0.0416, 0.0669, 0.098, 0.1393, 0.188, 0.2474, 0.3109, 0.3802, 0.4628, 0.551, 0.636, 0.7141, 0.7817, 0.8366, 0.8821, 0.9106, 0.9308, 0.9433, 0.9562, 0.966, 0.9715, 0.9775, 0.9812, 0.9822, 0.985]"
CH,2024,"[0.0, 0.0, 0.0063, 0.0247, 0.0469, 0.0741, 0.1095, 0.1521, 0.2079, 0.2699, 0.337, 0.4169, 0.51, 0.6001, 0.6884, 0.7654, 0.8322, 0.882, 0.9174, 0.9346, 0.9487, 0.958, 0.966, 0.9735, 0.9796, 0.984, 0.9877, 0.9897, 0.9917]"
AT,2021,"[0.0, 0.0, 0.0031, 0.0203, 0.047, 0.0778, 0.1208, 0.1693, 0.2372, 0.3232, 0.3993, 0.4757, 0.5543, 0.626, 0.6954, 0.7501, 0.7846, 0.8189, 0.8421, 0.8629, 0.8778, 0.9009, 0.9172, 0.9321, 0.9448, 0.9571, 0.9647, 0.9763, 0.9736]"
AT,2022,"[0.0, 0.0, 0.0032, 0.0239, 0.0493, 0.081, 0.13, 0.1887, 0.2681, 0.3615, 0.4331, 0.5189, 0.603, 0.6748, 0.7367, 0.7816, 0.8116, 0.8494, 0.8642, 0.8801, 0.8897, 0.9105, 0.927, 0.9407, 0.9514, 0.9643, 0.9714, 0.9831, 0.9814]"
AT,2023,"[0.0, 0.0, 0.0031, 0.0194, 0.0436, 0.0779, 0.124, 0.1898, 0.2622, 0.3508, 0.4291, 0.5138, 0.5967, 0.6718, 0.7294, 0.781, 0.8177, 0.853, 0.871, 0.8842, 0.8928, 0.9089, 0.9243, 0.9355, 0.9444, 0.9577, 0.9653, 0.9766, 0.9767]"
AT,2024,"[0.0, 0.0, 0.0035, 0.021, 0.047, 0.0843, 0.1374, 0.202, 0.2825, 0.383, 0.4757, 0.5638, 0.649, 0.7188, 0.7787, 0.8222, 0.8477, 0.8678, 0.8812, 0.8898, 0.8972, 0.9126, 0.9291, 0.9396, 0.9479, 0.9613, 0.9685, 0.9798, 0.98]"
BE,2021,"[0.0, 0.0, 0.0011, 0.005, 0.0109, 0.0195, 0.0311, 0.0501, 0.0787, 0.1173, 0.1649, 0.2252, 0.2987, 0.3856, 0.4765, 0.5643, 0.6498, 0.728, 0.7955, 0.8465, 0.8813, 0.9083, 0.9279, 0.9389, 0.9476, 0.9527, 0.9561, 0.9606, 0.9612]"
BE,2022,"[0.0, 0.0, 0.0012, 0.0064, 0.0127, 0.0243, 0.0383, 0.0637, 0.0963, 0.14, 0.1965, 0.2667, 0.351, 0.4481, 0.5387, 0.63, 0.7138, 0.7867, 0.8465, 0.8861, 0.9128, 0.9354, 0.9495, 0.9582, 0.9626, 0.9661, 0.9691, 0.97, 0.9699]"
BE,2023,"[0.0, 0.0, 0.0016, 0.0063, 0.0149, 0.0265, 0.042, 0.0642, 0.0994, 0.1435, 0.2037, 0.2793, 0.3683, 0.4694, 0.5693, 0.6593, 0.7425, 0.8118, 0.8638, 0.8995, 0.92, 0.9373, 0.9508, 0.9619, 0.9673, 0.9715, 0.9744, 0.9774, 0.9777]"
BE,2024,"[0.0, 0.0, 0.0018, 0.0074, 0.0151, 0.0288, 0.0496, 0.0756, 0.1183, 0.1709, 0.2436, 0.3294, 0.4207, 0.5191, 0.6173, 0.7062, 0.7839, 0.84, 0.8828, 0.9144, 0.9337, 0.9506, 0.9566, 0.9645, 0.9686, 0.9738, 0.9768, 0.9782, 0.976]"
